,Season,Sentence,labels
13675,Season 4,But you're afraid now?,fear
13676,Season 4,"Yes, well, I'm not nothing anymore.",neutral
13677,Season 4,Most of their men are up top. Didn't count more than twenty down there. Leftovers. They've got a little fat one and a little bony one manning the front.,neutral
13678,Season 4,How high are the walls?,neutral
13679,Season 4,"Well, we'll be up and over before they know what's happened.",neutral
13680,Season 4,Let's kill some Crows!,anger
13681,Season 4,yells* Come on! *puts out the fire*,anger
13682,Season 4,"Archers knock, everyone else hold.",neutral
13683,Season 4,I said knock and hold you cunts! Does knock mean draw?!,anger
13684,Season 4,No Ser!,anger
13685,Season 4,Does fucking hold mean fucking drop?!,anger
13686,Season 4,You all plan to die here tonight?,neutral
13687,Season 4,That's very good to hear. Draw!,joy
13688,Season 4,"Help, down below.",neutral
13689,Season 4,They're attacking the southern gates!,anger
13690,Season 4,Now?,surprise
13691,Season 4,Now!,surprise
13692,Season 4,"I'm going down then. Brother Slynt, you have The Wall.",neutral
13693,Season 4,What?!,surprise
13694,Season 4,"What are you fucking waiting for, loose!",anger
13695,Season 4,You heard the man. Loose!,anger
13696,Season 4,"You, over there.",neutral
13697,Season 4,Did you get one?,surprise
13698,Season 4,"No. Ah shit, Pyp. Shit. Sam.",disgust
13699,Season 4,Yeah?,surprise
13700,Season 4,I think we're gonna die.,neutral
13701,Season 4,If you keep missing we will.,neutral
13702,Season 4,Brothers! A hundred generations have defended this castle. We've never fallen before. She will not fall tongiht. Those are Things at our walls. They eat the flesh of the men they kill. Do you want to fill the belly of a Thing tonight?,disgust
13703,Season 4,No!,anger
13704,Season 4,"Tonight we fight. And when the sun rises I promise you, Castle Black will stand.",neutral
13705,Season 4,The Night's Watch will stand.,neutral
13706,Season 4,"With me now! Now, with me!",joy
13707,Season 4,"No discipline. No training. Gang of thieves, that's all this is. I commanded the city watch of King's Landing. Those men obeyed orders.",anger
13708,Season 4,We can't just let them attack the gate!,anger
13709,Season 4,"The bars of those gates are four inches of cold, rolled steel.",neutral
13710,Season 4,"Those are giants riding mammoths down there. Do you think your cold, rolled steel's gonna stop them?",anger
13711,Season 4,No such thing as giants. They're stories for the children.,neutral
13712,Season 4,"Brother Slynt! I've just got word that Ser Alliser needs you below. You're the most experienced man he's got, he said he needs ya.",neutral
13713,Season 4,Needed below? Yes. Yes.,neutral
13714,Season 4,Archers! Knock your arrows! Draw! Loose!,anger
13715,Season 4,They won't summit before dawn.,neutral
13716,Season 4,How do you know that?,surprise
13717,Season 4,Because I've made that claim.,neutral
13718,Season 4,I think they're in a bigger hurry than you were.,neutral
13719,Season 4,Knock! Draw! Loose!,anger
13720,Season 4,"I got one. Right through the heart, he's dead.",disgust
13721,Season 4,"Oh, is it over?",surprise
13722,Season 4,Huh?,surprise
13723,Season 4,Well then. *hands Pyp a loaded crossbow*,neutral
13724,Season 4,"You're alright. You're alright. I'll get help. Shh, shh. Maester Aemon is coming, he's gonna make it alright.",disgust
13725,Season 4,Now!,surprise
13726,Season 4,Now!,surprise
13727,Season 4,"to Grenn* The outer gate won't hold. Take five men, hold the inner gate.",neutral
13728,Season 4,Alright.,neutral
13729,Season 4,grabs Grenn's arm* Hold the gate. If they make it through...,neutral
13730,Season 4,"They won't. Come on Hill! And you Cooper! You three, on me! Come on you lazy bastards!",anger
13731,Season 4,Oil!,anger
13732,Season 4,Oil on the ramp!,anger
13733,Season 4,Protect the gate!,anger
13734,Season 4,Hold the fucking gate! Hold it!,anger
13735,Season 4,to Grenn* We need more men down here.,neutral
13736,Season 4,We have to hold the gate.,neutral
13737,Season 4,But we need men here.,neutral
13738,Season 4,Tell Jon! He's in command. *to the men behind him* Let's go!,anger
13739,Season 4,to Olly* Get me to the top! You hear me?!,surprise
13740,Season 4,"Your name's Olly, right? Listen to me Olly, get me to the top and when we give a signal, bring us back down. Do you hear me?",fear
13741,Season 4,"And find a weapon, Olly. Fight them!",anger
13742,Season 4,What are you doing up here?,surprise
13743,Season 4,The Wildlings are over the walls. Ser Alliser has fallen. The castle walls can't stand much longer.,sadness
13744,Season 4,"Ed. You have The Wall. If they try the mammoths again, drop fire on them. If the climbers get too high, drop the scythe on them.",neutral
13745,Season 4,Two brothers now fight with me.,anger
13746,Season 4,"Might as well enjoy our last night, right boys? Light the fuckers up. Knock! Draw! Loose!",neutral
13747,Season 4,How are we gonna stop that?,anger
13748,Season 4,We shot twenty-eight arrows in him already.,anger
13749,Season 4,"You heard Jon, we hold the gate.",fear
13750,Season 4,Jon Snow's not Lord Commander.,neutral
13751,Season 4,We hold the gate!,anger
13752,Season 4,Mother save me. Father save me.,sadness
13753,Season 4,"The gods aren't down here. It's the six of us, you hear me?",surprise
13754,Season 4,"No, please.",disgust
13755,Season 4,"Night gathers, and now my watch begins. It shall not end until my death. I shall take no wife, hold no lands, father no children. I shall wear no crowns",fear
13756,Season 4,"And win no glory. I shall live and die at my post. I am the sword in the darkness. I am the watcher on the walls. I am the shield that guards the realms of men. I pledge my life and honor to the Night's Watch, for this night and all the nights to come!",fear
13757,Season 4,to Sam* I don't want you out there.,sadness
13758,Season 4,You can't protect me forever. There won't be anywhere to hide if the castle falls.,neutral
13759,Season 4,I need him more than I need you.,neutral
13760,Season 4,We need you boy.,neutral
13761,Season 4,Jon Snow.,neutral
13762,Season 4,"No, shh, don't talk.",fear
13763,Season 4,Do you remember that cave?,surprise
13764,Season 4,We shouldo ve stayed in that cave.,disgust
13765,Season 4,We'll go back there.,neutral
13766,Season 4,"You know nothing, Jon Snow.",anger
13767,Season 4,"Drop the scythe, boys!",anger
13768,Season 4,Hoister up!,joy
13769,Season 4,They've had enough for one night.,neutral
13770,Season 4,Don't cheer too loud. They still outnumber us a thousand to one.,joy
13771,Season 4,"Tormund. It's over, let it end.",anger
13772,Season 4,This is how a man ends.,neutral
13773,Season 4,Put him in chains. We'll question him later.,neutral
13774,Season 4,I shouldo ve thrown you from the top of your wall boy!,anger
13775,Season 4,"Aye, you shouldo ve.",disgust
13776,Season 4,"Woah! It's me. It's me. I promised you, didn't I?",surprise
13777,Season 4,We held them off.,anger
13778,Season 4,For one night.,neutral
13779,Season 4,This is a great victory.,joy
13780,Season 4,"Great victory? Mance was testing our defenses. He almost made it through. And he has more giants, he has more mammoths. He has a thousand times as many men. They'll hit us again tonight. Maybe we can hold them off for a day or two, but we can never beat them.",neutral
13781,Season 4,Where are you going?,neutral
13782,Season 4,I'm going to find Mance.,neutral
13783,Season 4,To...you can't do that. No one gave you any orders.,anger
13784,Season 4,"Who's left to give orders? The Wildling army is only an army because of Mance. He united a hundred warring tribes. Without Mance they lose their leader. They lose their purpose, they go back to fighting each other, scatter back to their home.",neutral
13785,Season 4,Without Mance? You're going to kill him?,anger
13786,Season 4,I'm going to try.,joy
13787,Season 4,"They'll never let you within a hundred yards of him. And if you did, even if you managed to kill him.",anger
13788,Season 4,He'll kill me. If I don't go he'll kill me anyway. They'll kill the rest of us too.,fear
13789,Season 4,He won't just kill ya. They'll boil you. They'll filet you. They'll make it last days!,anger
13790,Season 4,You're right. It's a bad plan. What's your plan?,disgust
13791,Season 4,"They held the gate. Get some brothers down here to help you. You need to burn the bodies. Raise the outer gate, then lower it again as soon as I'm out.",anger
13792,Season 4,What are you doing?,surprise
13793,Season 4,I promised Jeor I'd never lose it again. *he hands the sword to Sam* In case I don't come back.,neutral
13794,Season 4,Jon. Come back.,neutral
13795,Season 4,You're wearing a black cloak again.,disgust
13796,Season 4,I've been sent to negotiate with you.,neutral
13797,Season 4,"It appears my trusting nature got the better of me. It's happened before. I was hoping your loyalty was real when you pledged yourself to us, Jon Snow, truly I was.",neutral
13798,Season 4,"The Halfhand ordered me to join your army and bring back whatever information I could to Castle Black. He made me kill him so you'd trust me. I was loyal, to him and to my Night's Watch vows.",anger
13799,Season 4,"All of your vows? She wasn't enough to turn ya, eh? Were you enough to turn her?",surprise
13800,Season 4,She put three arrows in me when I escaped.,fear
13801,Season 4,Did you see her again at Castle Black?,surprise
13802,Season 4,Yes.,neutral
13803,Season 4,And?,surprise
13804,Season 4,She's dead.,sadness
13805,Season 4,Your doing?,surprise
13806,Season 4,No.,neutral
13807,Season 4,We'll drink to her.,disgust
13808,Season 4,"Of all the ways I'd kill you, poison would be the last.",neutral
13809,Season 4,Ygritte.,disgust
13810,Season 4,Ygritte.,disgust
13811,Season 4,That's not wine.,neutral
13812,Season 4,"No, it's a proper Northern drink, Jon Snow. You did well. Fought hard. Killed some of our strongest men. One of our giants went into your tunnel and never came out again. Mag the Mighty.",neutral
13813,Season 4,He's dead. He killed my friend Grenn.,anger
13814,Season 4,He was their king. Last of a bloodline that stretches back before the First Men.,neutral
13815,Season 4,Grenn came from a farm.,disgust
13816,Season 4,Mag and Grenn.,neutral
13817,Season 4,Grenn and Mag.,neutral
13818,Season 4,"Kullback, could I trouble you for something to eat? I don't imagine our guest has eaten anything in quite some time. So. You're here to strike a bargain?",neutral
13819,Season 4,Turn your army around and go home.,neutral
13820,Season 4,You know I know you're low on arrows. You're low on oil. You're low on men. How many are left? 50?,neutral
13821,Season 4,I told Tormund and Orell. We have more than a thousand men.,neutral
13822,Season 4,"I showed you everything I had. The whole army, a hundred thousand strong, and what did you do? You fired on us with everything you had. It wasn't much. Soon as I saw that I sent four hundred men to climb the wall. An unmanned stretch five miles west of here. A lot of them will die climbing, but most of them will be over by the end of the day. This is me being honest with you, Jon Snow, which is more than you've ever done for me. My people have bled enough. We're not here to conquer, we're here to hide behind your wall just like you. We need your tunnel. Now we both know that winter is coming and if my people aren't south of the wall when it comes in earnest, we'll all end up worse than dead. Wanna strike a bargain with me? Here's a bargain. You go back, you open the gates to us and I swear to you that no one else will die. Refuse and we'll kill every last man in Castle Black.",anger
13823,Season 4,"Ah! Oh, that's why you're here. I reckon you could do it before any of them could stop ya. They'd kill you of course, they'd kill ya slow, but ya knew that when you came in here. Are you capable of that, Jon Snow? Killing a man in his own tent when he's just offered ya peace? Is that what the Night's Watch is? Is that what you are?",anger
13824,Season 4,You attacking us?,anger
13825,Season 4,"No, it's like you said, we don't have the men.",neutral
13826,Season 4,Hold! To me. To me.,anger
13827,Season 4,Stand down! I said my people have bled enough and I meant it.,anger
13828,Season 4,You're the king beyond the wall?,surprise
13829,Season 4,You know who I am?,neutral
13830,Season 4,Never had the pleasure.,sadness
13831,Season 4,"This is Stannis Baratheon, the one true king of the seven kingdoms.",neutral
13832,Season 4,We're not in the seven kingdoms and you're not dressed for this weather.,neutral
13833,Season 4,It is customary to kneel when surrendering to a king.,disgust
13834,Season 4,We do not kneel.,disgust
13835,Season 4,"I'll have thousands of your men in chains by nightfall, I'll have nowhere to put them and nothing to feed them. I'm not here to slaughter beat dogs. Their fate depends on their king.",anger
13836,Season 4,"All the same, we do not kneel.",neutral
13837,Season 4,Take these men away.,anger
13838,Season 4,What are men of the Night's Watch doing in a Wildling camp?,neutral
13839,Season 4,I was sent to discuss terms with the king beyond the wall.,joy
13840,Season 4,You're speaking to the one true king boy. You'll address him as your grace.,neutral
13841,Season 4,"I know he's the king. My father died for him. My name is Jon Snow, your grace. I'm Ned Stark's son.",sadness
13842,Season 4,Your father was an honorable man.,neutral
13843,Season 4,"He was, your grace.",neutral
13844,Season 4,What do you think he'd have done with him?,surprise
13845,Season 4,"I was this man's prisoner once. He couldo ve tortured me, he couldo ve killed me, but he spared my life. I think my father wouldo ve taken him prisoner, listened to what he had to say.",anger
13846,Season 4,Very well. *to Davos* Take him.,neutral
13847,Season 4,"Your grace. If my father'd seen the things that I've seen, he'd also tell you to burn the dead before nightfall. All of them.",neutral
13848,Season 4,I would suggest milk of the poppy to ease his pain but he is completely insensate.,disgust
13849,Season 4,Bloody Martells.,anger
13850,Season 4,The cause appears to be manticore venom.,neutral
13851,Season 4,"It is, yes, manticore.",neutral
13852,Season 4,"I've read a good deal about it. It's a horrible poison, usually Mantari in origin. Oh! Yes, yes. There's nothing to be done.",disgust
13853,Season 4,Yes there is.,neutral
13854,Season 4,May I ask what you think you're doing?,surprise
13855,Season 4,Saving him.,disgust
13856,Season 4,"Your grace. I wish it were otherwise, but Ser Gregor is beyond saving. Well, well beyond. This man is not even a Maester, let alone Grand Maester.",neutral
13857,Season 4,That's for the best. No Maester knows how to save him.,neutral
13858,Season 4,"That is exactly the sort of arrogance that had him expelled from the citadel, your grace. His curiosity was deemed dangerous and unnatural. Rightly so in my opinion.",disgust
13859,Season 4,"You're dismissed, Grand Maester.",anger
13860,Season 4,Your grace. This is my laboratory!,anger
13861,Season 4,Not anymore.,neutral
13862,Season 4,You can save him?,neutral
13863,Season 4,"Difficult to say, your grace, but if my past work is any guide. We stand a chance.",neutral
13864,Season 4,Do everything you can. Come to me with anything you need.,neutral
13865,Season 4,"Thank you, your grace. You should know, the process may change him, somewhat.",neutral
13866,Season 4,Will it weaken him?,neutral
13867,Season 4,Oh no.,surprise
13868,Season 4,Very well then.,neutral
13869,Season 4,"Not another word. We've been over this, the matter's closed.",neutral
13870,Season 4,I'm opening it again.,neutral
13871,Season 4,You are betrothed to Loras Tyrell. Still betrothed to Loras Tyrell and you will marry Loras Tyrell as soon as Tommen marries Margaery.,joy
13872,Season 4,I will not.,neutral
13873,Season 4,"Jaime cannot marry or inherit lands. Tyrion's sentence will be carried out tomorrow. You have, on several occasions, made great claims about your commitment to this family's future. Your role in that future is more vital now than it ever was.",neutral
13874,Season 4,"I don't care. I will stay in King's Landing where I belong with my son, the king.",anger
13875,Season 4,"When you were nine years old, I was called to the capital. I decided to take your brother with me and not you. You insisted that you would not be left at Casterly Rock under any circumstances and if you recall-",anger
13876,Season 4,I'm not interested in hearing another one of your smug stories about the time you won. This isn't going to be one of those times.,neutral
13877,Season 4,Do you think you'll be the first person dragged into a sept to be married against her will?,surprise
13878,Season 4,"When you marched into the throne room to tell me we'd won the Battle at Blackwater, do you remember?! I was sitting on the iron throne with Tommen. I was about to give him essence of nightshade, that's how far I was willing to go when I thought someone awful had come to take my son away. Someone awful is coming to take him away.",fear
13879,Season 4,No.,neutral
13880,Season 4,"Joffrey is dead. Myrcella's been sold like livestock. And now you want to ship me off to Highgarden and steal my boy, my last boy. Margaery will dig her claws in and you will dig your claws in and you will fight over him like beasts until you rip him apart. I will burn our house to the ground before I let that happen.",anger
13881,Season 4,And how will you do that?,surprise
13882,Season 4,I'll tell everyone the truth.,neutral
13883,Season 4,And what truth would that be?,surprise
13884,Season 4,"You don't know, do you? You never believed it. How is that possible? What am I saying, of course it's possible. How can someone so consumed by the idea of his family have any conception what his actual family was doing? We were right there in front of you and you didn't see us. One look in the past twenty years, one real look and you wouldo ve known.",surprise
13885,Season 4,Known what?,surprise
13886,Season 4,Everything they say is true. About Jaime and me.,neutral
13887,Season 4,"No, no, no, no, no.",fear
13888,Season 4,Your legacy is a lie.,disgust
13889,Season 4,I don't believe you.,anger
13890,Season 4,Yes you do.,neutral
13891,Season 4,Jaime.,neutral
13892,Season 4,"You won. One fewer brother. Must be proud of yourself. There's really nothing you wouldn't do, is there?",neutral
13893,Season 4,"For my family, no. I would do things for my family you couldn't imagine.",fear
13894,Season 4,Tyrion is your family.,neutral
13895,Season 4,He's not.,neutral
13896,Season 4,You don't get to choose.,neutral
13897,Season 4,"I do, so do you. You can choose the creature that killed our mother to come into this world-",anger
13898,Season 4,Are you really mad enough to blame him for that? He didn't decide to kill her. He was an infant.,anger
13899,Season 4,"A disease doesn't decide to kill you, all the same you cut it out before it does. What do you decide? What do you choose?",neutral
13900,Season 4,"The things I did to get back to you, to endure all that, only to find you-",sadness
13901,Season 4,I choose you.,neutral
13902,Season 4,Those are words.,neutral
13903,Season 4,Yes. Like the ones I just said to father. I told him.,neutral
13904,Season 4,Told him what?,anger
13905,Season 4,I told him about us.,neutral
13906,Season 4,You told him?,surprise
13907,Season 4,"I told him I wouldn't marry Loras Tyrell. I told him I'm staying right here with Tommen, with you.",neutral
13908,Season 4,You think he'll just accept that?,neutral
13909,Season 4,Go and ask him.,neutral
13910,Season 4,What did you say?,surprise
13911,Season 4,"I don't want to talk about Tywin Lannister. I don't choose Tywin Lannister, I don't love Tywin Lannister. I love my brother. I love my lover. People will whisper, they'll make their jokes. Let them. They're all so small I can't even see them. I only see what matters.",disgust
13912,Season 4,Someone will walk in.,neutral
13913,Season 4,I don't care.,disgust
13914,Season 4,"in Valyrian* You stand before Daenerys Stormborn, the Unburnt, Queen of Mereen, Queen of the Andals and the Rhoynar and the First Men. Khaleesi of the Great Grass Sea, Breaker of Chains and Mother of Dragons.",neutral
13915,Season 4,"in Valyrian* Thank you for seeing me, your grace. My name is Fennesz. I can speak the common tongue if you wish.",joy
13916,Season 4,You speak it very well.,neutral
13917,Season 4,"Before you freed me, I belonged to Master Mighdal. I was tutor to his children. I taught them languages and history. They know a great deal about your family because of me. Little Calla is only seven, but she admires you very much.",neutral
13918,Season 4,I hope I can prove worthy of her admiration. What can I do for you?,neutral
13919,Season 4,"When you took the city, the children begged me not to leave the house. But Master Mighdal and I agreed that I must. So I lost my home. Now I live on the streets.",sadness
13920,Season 4,I have outfitted mess halls to feed all former slaves and barracks to shelter them.,neutral
13921,Season 4,"I do not mean to offend, your grace. I went to one of these places. The young prey on the old. Take what they want and beat us if we resist.",anger
13922,Season 4,"My Unsullied will make them safe again in short order my friend, this I promise you.",neutral
13923,Season 4,"Even if they are safe, who would I be there? What purpose would I serve? With my master, I was a teacher. I had the respect and love of these children.",disgust
13924,Season 4,What is it that you want from me?,neutral
13925,Season 4,"Your grace, I ask you to let me sell myself back to Master Mighdal.",neutral
13926,Season 4,"You want to return to a man who owned you, like a goat or a chair?",disgust
13927,Season 4,"Please, your grace, the young may rejoice in the new world you've built for them. But for those of us too old to change there is only fear and squalor. I am not alone. There are many outside waiting to beg the same-",fear
13928,Season 4,I did not take this city to preside over the injustice I fought to destroy. I took it to bring people freedom. But freedom means making your own choices. I will allow you to sign a contract with your former master. It may not cover a period lasting longer than a year.,neutral
13929,Season 4,"Thank you, your grace. Thank you.",joy
13930,Season 4,The masters will take advantage of this situation. The men serving them will be slaves in all but name.,disgust
13931,Season 4,Approach my friend.,disgust
13932,Season 4,"in Low Valyrian* I do not understand, my queen. I do not understand, my queen.",surprise
13933,Season 4,in Low Valyrian* The Queen says you may approach.,neutral
13934,Season 4,"crying, speaking Low Valyrian*",anger
13935,Season 4,translating* I have brought you. He came from the sky. The black one. The winged shadow. He came from the sky and...,neutral
13936,Season 4,translating* My girl. My little girl.,neutral
13937,Season 4,What was her name?,neutral
13938,Season 4,"Zala, your grace.",neutral
13939,Season 4,How old was she?,neutral
13940,Season 4,Three.,neutral
13941,Season 4,Three. *in Valyrian* And still no word on Drogon?,surprise
13942,Season 4,"in Valyrian* Sailors saw him flying over the Black Cliffs three days ago, my queen. Nothing since then.",neutral
13943,Season 4,in Valyrian* Meet me in the catacombs.,neutral
13944,Season 4,"They came to us from White Harbor and Barrowton, from Fairmarket and King's Landing, from north and south, from east and west. They died protecting men, women, and children who will never know their names. It is for us to remember them. Our brothers, we shall never see their like again.",neutral
13945,Season 4,And now their watch is ended.,neutral
13946,Season 4,And now their watch is ended.,neutral
13947,Season 4,Your old blind man patched me up. Why?,surprise
13948,Season 4,"He's sworn to treat all wounded men, friend or foe.",neutral
13949,Season 4,You want me alive so you can torture me?,anger
13950,Season 4,No one's going to torture you.,disgust
13951,Season 4,So how do we die? Hanging? Beheading? Drop us from the top of the wall?,neutral
13952,Season 4,I don't know what happens to the prisoners.,neutral
13953,Season 4,Who decides?,neutral
13954,Season 4,I suppose Stannis does.,neutral
13955,Season 4,He your king now?,surprise
13956,Season 4,I don't have a king.,neutral
13957,Season 4,"You spent too much time with us, Jon Snow. You can never be a kneeler again.",sadness
13958,Season 4,We're gonna burn the bodies of your dead. Do you want to say any words over them?,anger
13959,Season 4,Words? What kind of words?,neutral
13960,Season 4,Funeral words. I don't know how the Free Folk do it.,neutral
13961,Season 4,Do what?,anger
13962,Season 4,Say farewell.,sadness
13963,Season 4,"The dead can't hear us, boy.",disgust
13964,Season 4,Snow. Did you love her? She loved you.,surprise
13965,Season 4,She told you?,surprise
13966,Season 4,No. All she ever talked about was killing you. That's how I know. She belongs in the North. The real North. You understand me?,anger
13967,Season 4,"We can stop, we can rest.",neutral
13968,Season 4,We'll rest with the three-eyed raven.,neutral
13969,Season 4,We're not going to make it.,sadness
13970,Season 4,We're already here.,neutral
13971,Season 4,"Jojen. Jojen! Look, Jojen, look.",anger
13972,Season 4,JOJEN! Hold on!,anger
13973,Season 4,Help them! Now!,anger
13974,Season 4,Hold on to me!,anger
13975,Season 4,Hodor...,neutral
13976,Season 4,Help them!,anger
13977,Season 4,"Bran! Save yourself, now!",anger
13978,Season 4,"Come with me, Brandon Stark!",anger
13979,Season 4,"He is lost. Come with me, or die with him.",anger
13980,Season 4,Go with them.,neutral
13981,Season 4,They cannot follow us. The power that moves them is powerless here.,neutral
13982,Season 4,Who are you?,surprise
13983,Season 4,"The First Men called us The Children, but we were born long before them. Come, he waits for you.",neutral
13984,Season 4,You're the three-eyed raven.,neutral
13985,Season 4,"I have been many things. Now, I am what you see.",neutral
13986,Season 4,"My brother, he led us to you, and now he…",neutral
13987,Season 4,"He knew what would happen. From the moment he left, he knew, and he went anyway.",neutral
13988,Season 4,How do you know?,surprise
13989,Season 4,"I've been watching you. All of you, all of your lives, with a thousand eyes and one. Now you've come to me at last, Brandon Stark, though the hour is late.",neutral
13990,Season 4,I didn't want anyone to die for me.,sadness
13991,Season 4,He died so that you could find what you have lost.,neutral
13992,Season 4,You're going to help me walk again?,surprise
13993,Season 4,You'll never walk again. But you will fly.,neutral
13994,Season 4,Podrick. Podrick! Where are the horses?,surprise
13995,Season 4,I hobbled them last night.,fear
13996,Season 4,What sort of hobble?,neutral
13997,Season 4,"A figure-eight, like you taught me.",neutral
13998,Season 4,If you did it like I taught you then the horses would be here.,neutral
13999,Season 4,"Thieves, maybe?",neutral
14000,Season 4,It's at least thirty miles to the Eyrie from here. You're carrying the saddle bags.,neutral
14001,Season 4,"People coming. You can shit later, there's people coming!",disgust
14002,Season 4,Morning!,neutral
14003,Season 4,Morning.,neutral
14004,Season 4,I like your sword. Are we getting close to the bloody gate?,joy
14005,Season 4,About ten more miles.,neutral
14006,Season 4,Did you hear that Podrick? Only about ten more miles to the Bloody Gate.,surprise
14007,Season 4,Are you a knight?,surprise
14008,Season 4,No.,neutral
14009,Season 4,But you know how to use that sword.,neutral
14010,Season 4,I do.,neutral
14011,Season 4,Does it have a name?,neutral
14012,Season 4,Oathkeeper.”,neutral
14013,Season 4,Mine's “Needle.”,neutral
14014,Season 4,Good name.,neutral
14015,Season 4,Who taught you how to fight?,neutral
14016,Season 4,My father.,sadness
14017,Season 4,Mine never wanted to. Said fighting was for boys.,sadness
14018,Season 4,"Mine said the same. But I kept fighting the boys anyway. Kept losing. Finally my father said, “If you're going to do it, you might as well do it right.”",anger
14019,Season 4,"Seven blessings. I'm Brienne of Tarth, this is Podrick Payne.",neutral
14020,Season 4,You want something?,surprise
14021,Season 4,That's Sandor Clegane- the Hound.,neutral
14022,Season 4,You're Arya Stark.,neutral
14023,Season 4,I asked if you wanted something.,neutral
14024,Season 4,I swore to your mother I would bring you home to her.,anger
14025,Season 4,My mother's dead.,sadness
14026,Season 4,I know. I wish I couldo ve been there to protect her.,sadness
14027,Season 4,You're not a northerner.,neutral
14028,Season 4,"I know, but I swore a sacred vow to protect her.",disgust
14029,Season 4,Why didn't you?,surprise
14030,Season 4,She commanded me to bring Jaime Lannister back to King's Landing.,anger
14031,Season 4,You're paid by the Lannisters. You're here for the bounty on me.,neutral
14032,Season 4,I'm not paid by the Lannisters.,sadness
14033,Season 4,"No? Fancy sword you've got there. Where'd you get it? I've been looking at Lannister gold all my life. Go on, Brienne of fucking Tarth, tell me that's not Lannister gold.",anger
14034,Season 4,Jaime Lannister gave me this sword.,neutral
14035,Season 4,The Bloody Gate's ten miles.,fear
14036,Season 4,I swore to your mother by the Old Gods and the New -,neutral
14037,Season 4,I don't care what you swore!,anger
14038,Season 4,Arya!,surprise
14039,Season 4,You heard the girl! She's not coming with you.,anger
14040,Season 4,She is.,neutral
14041,Season 4,You're not a good listener. Valyrian steel-- I've always wanted some Valyrian steel.,disgust
14042,Season 4,Come with me Arya. I'll take you to safety.,fear
14043,Season 4,"Safety?! Where the fuck's that? Her aunt in the Eyrie's dead. Her mother's dead, her father's dead, her brother's dead. Winterfell's a pile of rubble. There's no safety, you dumb bitch. If you don't know that by now, you're the wrong one to watch over her.",anger
14044,Season 4,And that's what you're doing? Watching over her?,anger
14045,Season 4,"Aye, that's what I'm doing.",neutral
14046,Season 4,I have no wish to kill you Ser.,fear
14047,Season 4,I'm not a knight.,neutral
14048,Season 4,Arya! Arya! ARYA! Where is she?,surprise
14049,Season 4,She was just here...,neutral
14050,Season 4,Why weren't you watching her?,anger
14051,Season 4,I was watching you I thought you migth need some help…,surprise
14052,Season 4,Which way Pod? Which way did she go?,neutral
14053,Season 4,"Ah, I think that way.",neutral
14054,Season 4,You're still here? [Coughs] Big bitch saved you.,anger
14055,Season 4,I don't need saving.,neutral
14056,Season 4,"No, not you. You're a real killer. With your water dancing, and your needle.",disgust
14057,Season 4,You're gonna die?,anger
14058,Season 4,"Unless there's a Maester hiding behind that rock, aye, I'm done. I'd skin you alive for wine. [Arya offers water.] Fuck water! Killed by a woman. I bet you liked that. Go on, go after her. She'll help you. Going out alone, you won't last a day out there.",anger
14059,Season 4,I'll last longer than you.,neutral
14060,Season 4,"You remember where the heart is? Fuck it. I'm ready. Go on, girl. Another name off your list. You kept promising me. I cut down your butcher's boy, the ginger. He was begging for mercy. Please sir, please don't kill me, please, please. Bled all over my horse. Saddle stunk of butcher's boy for weeks. And your sister, your pretty sister. I shouldo ve taken her. That night the Blackwater burned, I shouldo ve fucked her bloody. At least I'd have one happy memory! Do I have to beg you? Do it. Do it.",anger
14061,Season 4,Kill me. Kill me! Kill me! Kill me!,anger
14062,Season 4,"Oh, get on with it you son of a whore.",anger
14063,Season 4,Is that any way to speak about our mother?,neutral
14064,Season 4,What're you doing?,surprise
14065,Season 4,What do you think I'm doing? The galley's waiting in the bay bound for the Free Cities.,surprise
14066,Season 4,Who's helping you?,surprise
14067,Season 4,Varys.,neutral
14068,Season 4,Varys?,neutral
14069,Season 4,You have more friends than you thought.,surprise
14070,Season 4,"There's a locked door at the top of the stairs. Knock on it twice, and then twice again. Varys will open.",neutral
14071,Season 4,"I suppose this is goodbye, then.",neutral
14072,Season 4,"Farewell, little brother.",neutral
14073,Season 4,"Jaime, thank you. For my life.",joy
14074,Season 4,Quickly now.,neutral
14075,Season 4,Tywin… my lion...,neutral
14076,Season 4,I'm sorry. I'm sorry.,sadness
14077,Season 4,"Tyrion! Put down the crossbow. Who released you? Ah, your brother ,I expect. He always had a soft spot for you. Come, we'll go and talk in my chambers. Is this how you want to speak to me? Shaming your father has always given you pleasure…",anger
14078,Season 4,"All my life, you've wanted me dead.",anger
14079,Season 4,"Yes. But you refused to die. I respect that, even admire it. You fight for what's yours. I'd never let them execute you; is that what you fear? I'd never let Illyn Payne take your head. You're a Lannister. You're my son.",fear
14080,Season 4,I loved her.,joy
14081,Season 4,Who?,surprise
14082,Season 4,Shae.,neutral
14083,Season 4,"Bah, Tyrion. Put down that crossbow.",anger
14084,Season 4,I murdered her. With my own hands.,anger
14085,Season 4,It doesn't matter.,neutral
14086,Season 4,It doesn't matter?,disgust
14087,Season 4,She was a whore!,disgust
14088,Season 4,Say that word again.,neutral
14089,Season 4,And what? You'll kill your own father in the privy? No. You're my son. Enough of this nonsense…,anger
14090,Season 4,"I am your son, and you sentenced me to die. You knew I didn't poison Joffrey, but you sentenced me all the same. Why?",anger
14091,Season 4,Enough. We'll go back to my chambers and speak with some dignity.,neutral
